,index,smiles
176,34976,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
177,35057,C[C@H](N)Cc1ccccc1
178,35272,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1
179,35451,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
180,35530,CC(=O)NC(CCC(=O)O)C(=O)O
181,35845,CCC(C)SSc1ncc[nH]1
182,35916,[H][C@@]12C=C(CO)[C@@H](O)[C@]3(O)[C@@H](O)C(C)=C[C@@]3(C1=O)[C@H](C)C[C@@]1([H])C(C)(C)[C@@]21[H]
183,35995,CCCCCCc1ccc(O)cc1O
184,36147,[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@@]21C
185,36153,[H][C@@]12CCC(O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
186,36213,O=C(O)/C=C\c1c[nH]cn1
187,36246,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1
188,36487,O=C(O)C(O)c1ccccc1
189,37123,O=S(=O)(O)CC(S)CS
190,37222,CCC(C(=O)NC(N)=O)c1ccccc1
191,37235,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
192,37742,[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C
193,37937,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1
194,38075,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
195,38140,CC(C)Cc1ccc(C(C)C(=O)O)cc1
196,38247,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CC/C(=N\O)C=C3CC[C@@]21[H]
197,38471,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
198,38481,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
199,38833,CCC1(CC)C(=O)NC(=O)N(C)C1=O
200,39083,Oc1c(Cl)cc(Cl)c2cccnc12
201,39288,[H][C@@]12CC[C@@](C)([C@@H](O)C1)C2(C)C
202,39555,CC1NCCOC1c1ccccc1
203,39607,C1CCCCC1
204,39761,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
205,39840,CC[C@@H](CO)NCCN[C@@H](CC)CO
206,39960,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
207,39967,C[C@H]1CC(CN)(CC(=O)O)C[C@@H]1C
208,40258,[H][C@]12CCC(=C)[C@@H](CCC3=CCOC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO
209,40581,COc1ccc(C(=O)c2ccccc2)c(O)c1
210,40725,CC12CCC(CC1)C(C)(C)O2
211,40748,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)C=CC(=O)C=C3CC[C@@]21[H]
212,40915,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
213,40941,NCCNCCNCCN
214,41150,CCCCCC[C@@H](CCC)C(=O)O
215,41320,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1
216,41382,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@@]1([H])[C@@]2([H])CCC2=CCCC[C@@]21[H]
217,41409,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
218,41771,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
219,42140,CCNCC
220,42238,On1ccccc1=S
221,42255,CN(C)CCO
222,42658,OCCOc1ccccc1
223,42707,O=C(O)c1ccccc1
224,42860,C#CC(C)(O)CC
225,42935,ClC(Cl)Cl
226,42993,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
227,43010,OC(O)C(Cl)(Cl)Cl
228,43221,CCO
229,43225,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
230,43253,CC(Cl)(Cl)Cl
231,43282,C=O
232,43317,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
233,43651,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
234,43924,CN(C)CC(Oc1ccccc1)Oc1ccccc1
235,43941,OC[C@H]1O[C@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O
236,44111,CC1CCC(C(C)C)C(O)C1
237,44126,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
238,44437,NC(=O)NO
239,44713,O=S(=O)(O)CCS
240,44984,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
241,45186,NCc1ccccc1O
242,45413,[H][C@@]12CC[C@@]3([H])[C@]4([H])CC[C@](C)(O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)C/C(=C/O)C(=O)C2
243,45445,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O
244,45574,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
245,45690,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
246,45713,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1
247,45726,CC(=O)O
248,45873,NCCCS(=O)(=O)O
249,46144,CN1CCCN=C1/C=C/c1cccs1
250,46182,C1CNCCN1
251,46250,CC(=O)Oc1ccccc1C(=O)O
252,46763,Cc1cc(O)cc(C)c1Cl
253,46874,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
254,46909,OCC1OC(O)CC(O)C1O
255,46922,OC1OC[C@@H](O)[C@H](O)[C@H]1O
256,46952,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
