"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3989870";"BERZOSERTIB";"BERZOSERTIB|M-6620|M6620|VE-822|VX-970|VX970";"Small molecule";"2.0";"463.56";"34";"1607";"3.95";"124.00";"8";"2";"0";"7";"N";"0.42";"None";"9.22";"3.16";"1.35";"4";"MOL";"0";"33";"8";"3";"0";"463.1678";"-1.01";"BASE";"C24H25N5O3S";"CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1";"JZCWLJDSIRUGIN-UHFFFAOYSA-N"
"CHEMBL4297712";"C16G2";"C16G2|STAMP C16G2";"Unknown";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL513922";"EMAPUNIL";"AC-5216|EMAPUNIL|XBD-173|XBD173";"Small molecule";"2.0";"401.47";"8";"23";"2.85";"73.02";"6";"0";"0";"6";"N";"0.50";"None";"1.42";"4.08";"4.08";"4";"MOL";"0";"30";"7";"0";"0";"401.1852";"-1.72";"NEUTRAL";"C23H23N5O2";"CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21";"NBMBIEOUVBHEBM-UHFFFAOYSA-N"
"CHEMBL4297315";"PCI-27483";"CRA-027483|PCI-27483";"Small molecule";"2.0";"596.58";"";"";"0.83";"282.87";"9";"9";"2";"10";"N";"0.09";"3.21";"11.54";"-1.64";"-3.64";"4";"MOL";"0";"42";"15";"11";"3";"596.1325";"-0.37";"ZWITTERION";"C26H24N6O9S";"N=C(N)c1ccc2nc(-c3cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc(-c4cc(S(N)(=O)=O)ccc4O)c3O)[nH]c2c1";"WDJHHCAKBRKCLW-IBGZPJMESA-N"
"CHEMBL2109637";"HUHMFG1";"AS-1402|AS1402|HUHMFG1|MOAB HuHMFG1|R1550|Therex|humanized IgG1 monoclonal antibody HMFG-1|humanized human milk fat globule-1 monoclonal antibody";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2109535";"KBPA-101";"AR-101|KBPA-101";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1276127";"INDIRUBIN";"C.I. 75790|COUROUPITINE B|INDIRUBIN|NSC-105327";"Small molecule";"2.0";"262.27";"81";"155";"2.66";"58.20";"3";"2";"0";"0";"Y";"0.72";"10.87";"None";"2.43";"2.43";"2";"MOL";"0";"20";"4";"2";"0";"262.0742";"0.47";"NEUTRAL";"C16H10N2O2";"O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O";"CRDNMYFJWFXOCH-YPKPFQOOSA-N"
"CHEMBL4802161";"DALPICICLIB";"DALPICICLIB|SHR-6390";"Small molecule";"2.0";"446.56";"1";"2";"4.02";"101.80";"8";"2";"0";"5";"N";"0.57";"10.44";"9.79";"2.76";"0.76";"3";"MOL";"0";"33";"8";"2";"0";"446.2430";"-0.64";"BASE";"C25H30N6O2";"CC(=O)c1c(C)c2cnc(Nc3ccc(C4CCNCC4)cn3)nc2n(C2CCCC2)c1=O";"SGJLSPUSUBJWHO-UHFFFAOYSA-N"
"CHEMBL109831";"DEXELVUCITABINE";"DEXELVUCITABINE|DPC-817|INCB-8721|Reverset|YZ-817";"Small molecule";"2.0";"227.19";"19";"32";"-0.59";"90.37";"6";"2";"0";"2";"N";"0.66";"None";"None";"-0.81";"-0.81";"1";"MOL";"0";"16";"6";"3";"0";"227.0706";"0.69";"NEUTRAL";"C9H10FN3O3";"Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F";"HSBKFSPNDWWPSL-CAHLUQPWSA-N"
"CHEMBL3301609";"TOREFORANT";"JNJ-38518168|TOREFORANT|Toreforant";"Small molecule";"2.0";"392.55";"3";"7";"4.48";"69.73";"5";"2";"0";"6";"N";"0.61";"11.90";"9.41";"3.97";"1.96";"3";"MOL";"0";"29";"6";"2";"0";"392.2688";"-1.08";"BASE";"C23H32N6";"Cc1cc(C)c2nc(-c3cnc(NCCCC4CCN(C)CC4)nc3C)[nH]c2c1";"FCRFVPZAXGJLPW-UHFFFAOYSA-N"
"CHEMBL54918";"5-FLUOROURIDINE";"5-Fluorouridine";"Small molecule";"2.0";"262.19";"128";"211";"-2.71";"124.78";"7";"4";"0";"2";"N";"0.46";"8.07";"None";"-2.22";"-2.30";"1";"MOL";"0";"18";"8";"4";"0";"262.0601";"0.91";"NEUTRAL";"C9H11FN2O6";"O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F";"FHIDNBAQOFJWCA-UAKXSSHOSA-N"
"CHEMBL1090089";"PAMAPIMOD";"PAMAPIMOD|Pamapimod|R-1503|R1503|RO 4402257|Ro-4402257";"Small molecule";"2.0";"406.39";"32";"96";"1.94";"109.50";"8";"3";"0";"8";"N";"0.52";"None";"2.56";"0.93";"0.93";"3";"MOL";"0";"29";"8";"3";"0";"406.1453";"-0.80";"NEUTRAL";"C19H20F2N4O4";"Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21";"JYYLVUFNAHSSFE-UHFFFAOYSA-N"
"CHEMBL1272307";"SB-649868";"GSK649868|SB-649868";"Small molecule";"2.0";"477.56";"15";"85";"5.43";"75.44";"5";"1";"1";"5";"N";"0.42";"None";"0.45";"4.17";"4.17";"4";"MOL";"0";"34";"6";"1";"1";"477.1522";"-1.30";"NEUTRAL";"C26H24FN3O3S";"Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3occc23)c(-c2ccc(F)cc2)s1";"ZJXIUGNEAIHSBI-IBGZPJMESA-N"
"CHEMBL3545174";"GSK2881078";"GSK2881078";"Small molecule";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL5095189";"NYX-2925";"NYX-2925";"Small molecule";"2.0";"297.36";"";"";"-0.92";"103.94";"4";"2";"0";"4";"N";"0.65";"None";"None";"-1.09";"-1.09";"0";"MOL";"0";"21";"7";"3";"0";"297.1689";"0.03";"NEUTRAL";"C14H23N3O4";"CC(C)C(=O)N1CCC[C@]12CN([C@H](C(N)=O)[C@@H](C)O)C2=O";"NFXPEHLDVKVVKA-ISTVAULSSA-N"
"CHEMBL2220486";"LUCITANIB";"AL-3810|CO-3810|E-3810|LUCITANIB|Lucitanib|S 80881|S-80881";"Small molecule";"2.0";"443.50";"297";"317";"4.42";"95.70";"6";"2";"0";"7";"N";"0.44";"None";"9.39";"2.97";"1.00";"4";"MOL";"0";"33";"7";"3";"0";"443.1845";"-0.34";"BASE";"C26H25N3O4";"CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12";"CUDVHEFYRIWYQD-UHFFFAOYSA-N"
"CHEMBL4297942";"QUETMOLIMAB";"E-6011|E6011|QUETMOLIMAB";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
